,boat_name,activity,time
225,Gret’s Three J’s,Hooked up,Monday @ 2:50 PM
226,Horse Play,Ted Keany released a blue marlin.,Monday @ 3:05 PM
227,Horse Play,Hooked up,Monday @ 2:15 PM
228,Callisto,Released a blue marlin.,Monday @ 2:59 PM
229,Callisto,Hooked up,Monday @ 2:25 PM
230,Mercenaria,Carroll Ballard released a blue marlin.,Monday @ 2:52 PM
231,Mercenaria,Hooked up,Monday @ 2:02 PM
232,Orrsman,Released a blue marlin.,Monday @ 2:47 PM
233,Orrsman,Hooked up,Monday @ 2:32 PM
234,Post Call,Released a blue marlin.,Monday @ 2:30 PM
235,Post Call,Hooked up,Monday @ 2:06 PM
236,High Time,Released a blue marlin.,Monday @ 2:24 PM
237,High Time,Hooked up,Monday @ 2:02 PM
238,Double 07,Released a blue marlin.,Monday @ 2:21 PM
239,Double 07,Hooked up,Monday @ 1:04 PM
240,Outnumbered,Kevin  Summerville released a blue marlin.,Monday @ 2:16 PM
241,Electric Bill,Released a blue marlin/unverified.,Monday @ 2:03 PM
242,Electric Bill,Hooked up,Monday @11:08 AM
243,Sea Toy,Released a blue marlin.,Monday @ 1:54 PM
244,Sea Toy,Hooked up,Monday @12:33 PM
245,Megabite,Released a blue marlin.,Monday @ 1:45 PM
246,Megabite,Hooked up,Monday @ 1:15 PM
247,Annie O,Wallace Baker released a blue marlin.,Monday @ 1:39 PM
248,Annie O,Hooked up,Monday @ 1:17 PM
249,Weldor's Ark,Released a blue marlin.,Monday @ 1:38 PM
250,Weldor's Ark,Hooked up,Monday @ 1:31 PM
251,Sea Hound,Released a white marlin.,Monday @ 1:33 PM
252,Sea Hound,Hooked up,Monday @ 1:27 PM
253,Diamond Girl,Released a blue marlin.,Monday @ 1:31 PM
254,Diamond Girl,Hooked up,Monday @ 1:13 PM
255,Hatteras Fever II,Released a white marlin.,Monday @ 1:29 PM
256,Hatteras Fever II,Hooked up,Monday @ 1:24 PM
257,Bad Becky,Released a white marlin.,Monday @ 1:08 PM
258,Ann Warrick,Frank  Adams released a blue marlin.,Monday @ 1:01 PM
259,Ann Warrick,Hooked up,Monday @ 1:01 PM
260,Sea I Sea,Released a blue marlin.,Monday @12:59 PM
261,Sea I Sea,Hooked up,Monday @12:47 PM
262,Outnumbered,Kevin  Summerville released a blue marlin.,Monday @12:55 PM
263,Outnumbered,Lost (Pulled Hook).,Monday @12:55 PM
264,Outnumbered,Hooked up,Monday @12:55 PM
265,Ann Warrick,Frank  Adams released a blue marlin.,Monday @12:46 PM
266,Ann Warrick,Hooked up,Monday @12:43 PM
267,Lights Out,Released a blue marlin.,Monday @12:44 PM
