,boat_name,activity,time
452,Hello Dolly,Hooked up,Monday @12:18 PM
453,Let It Ride,Released a white marlin.,Monday @12:34 PM
454,Let It Ride,Hooked up,Monday @12:35 PM
455,Orrsman,Released a blue marlin.,Monday @12:31 PM
456,Orrsman,Hooked up,Monday @12:04 PM
457,Full Pull,Released a blue marlin.,Monday @12:27 PM
458,Full Pull,Hooked up,Monday @11:36 AM
459,Island Girl - Peele,Lost (Pulled Hook).,Monday @12:15 PM
460,Island Girl - Peele,Hooked up,Monday @12:15 PM
461,Renegade,Released a blue marlin.,Monday @12:15 PM
462,Renegade,Hooked up,Monday @11:19 AM
463,Stream Weaver,Released a blue marlin.,Monday @12:08 PM
464,Stream Weaver,Hooked up,Monday @11:59 AM
465,Top Dog,Weighed a 464.9 lb blue marlin.,Monday @12:06 PM
466,Top Dog,Boated a blue marlin.,Monday @12:06 PM
467,Top Dog,Hooked up,Monday @11:36 AM
468,Seacurity,Lost (Pulled Hook).,Monday @12:05 PM
469,Seacurity,Hooked up,Monday @12:05 PM
470,Tuna Duck,Released a white marlin.,Monday @12:03 PM
471,Tuna Duck,Hooked up,Monday @11:47 AM
472,Yellowfin,Lost (Pulled Hook).,Monday @12:01 PM
473,Yellowfin,Hooked up,Monday @12:01 PM
474,Reelax'n,Lost (Pulled Hook).,Monday @11:59 AM
475,Reelax'n,Hooked up,Monday @11:59 AM
476,Sashimi,Released a blue marlin.,Monday @11:38 AM
477,Sashimi,Hooked up,Monday @10:06 AM
478,Game Keeper,Released a white marlin.,Monday @10:56 AM
479,Game Keeper,Hooked up,Monday @10:51 AM
480,Reel Country,Released a white marlin.,Monday @10:55 AM
481,Reel Country,Hooked up,Monday @10:49 AM
482,Lo Que Sea,Released a sailfish.,Monday @10:53 AM
483,Lo Que Sea,Hooked up,Monday @10:53 AM
484,Eye Catcher,Released a white marlin.,Monday @10:50 AM
485,Eye Catcher,Hooked up,Monday @10:41 AM
486,Viking 80,Released a white marlin.,Monday @10:34 AM
487,Viking 80,Hooked up,Monday @10:33 AM
488,Sweetums,1st 500lb Blue Marlin,Monday @10:31 AM
489,Sweetums,Weighed a 545.4 lb blue marlin.,Monday @10:31 AM
490,Sweetums,Boated a blue marlin.,Monday @10:31 AM
491,Sweetums,Hooked up,Monday @ 9:47 AM
492,Post Call,Weighed a 451.4 lb blue marlin.,Monday @10:27 AM
493,Post Call,Boated a blue marlin.,Monday @10:27 AM
494,Post Call,Hooked up,Monday @ 9:58 AM
495,Sea Toy,Released a blue marlin.,Monday @10:17 AM
496,Sea Toy,Hooked up,Monday @ 9:20 AM
497,High Time,Lost (Wrong Species).,Monday @10:09 AM
498,High Time,Hooked up,Monday @10:09 AM
499,Halcyon,Lost (Wrong Species).,Monday @ 9:56 AM
500,Halcyon,Hooked up,Monday @ 9:56 AM
501,Whitecaps,Released a white marlin.,Monday @ 9:52 AM
502,Whitecaps,Hooked up,Monday @ 9:49 AM
503,Sea Striker,Released a blue marlin.,Monday @ 9:52 AM
504,Sea Striker,Hooked up,Monday @ 9:41 AM
505,Carolina Lady,Released a white marlin.,Monday @ 9:39 AM
506,Carolina Lady,Hooked up,Monday @ 9:34 AM
507,Sea Spell,Released a sailfish.,Monday @ 9:33 AM
508,Sea Spell,Hooked up,Monday @ 9:22 AM
509,OTH,Lost (Pulled Hook).,Monday @ 9:33 AM
510,Blue Sky,Released a white marlin.,Monday @ 9:28 AM
511,Blue Sky,Hooked up,Monday @ 9:24 AM
512,String Line,Daily 1st Release,Monday @ 9:26 AM
513,String Line,Released a white marlin.,Monday @ 9:26 AM
514,String Line,Hooked up,Monday @ 9:19 AM
515,EZ Boy,Lost (Wrong Species).,Monday @ 9:19 AM
516,EZ Boy,Hooked up,Monday @ 9:19 AM
