,boat_name,activity,time
102,Uno Mas,Hooked up,Friday @10:25 AM
103,Tail Gunner,Released a blue marlin.,Friday @10:23 AM
104,Tail Gunner,Hooked up,Friday @10:23 AM
105,Gambler,Lost (Pulled Hook).,Friday @10:23 AM
106,Gambler,Lost (Wrong Species).,Friday @10:08 AM
107,Gambler,Hooked up,Friday @10:08 AM
108,Kora K,Lost (Wrong Species).,Friday @ 9:58 AM
109,Kora K,Hooked up,Friday @ 9:58 AM
110,Bare Bones,Released a blue marlin.,Friday @ 9:46 AM
111,Bare Bones,Hooked up,Friday @ 9:46 AM
112,Artemis,Lost (Wrong Species).,Friday @ 9:39 AM
113,Artemis,Hooked up,Friday @ 9:39 AM
114,Reel Crazy,Released a daily 1st release.,Friday @ 9:29 AM
115,Reel Crazy,Hooked up,Friday @ 9:29 AM
116,Reel Happy,Lost (Wrong Species).,Friday @ 9:09 AM
117,Reel Happy,Hooked up,Friday @ 9:09 AM
118,The Reel McKeel,Weighed a 22.7 lb dolphin.,Thursday @ 6:21 PM
119,Halcyon,Weighed a 26.2 lb dolphin.,Thursday @ 6:12 PM
120,No Problem,Weighed a 57.5 lb dolphin.,Thursday @ 6:11 PM
121,Reel Country,Weighed a 19.9 lb tuna.,Thursday @ 6:11 PM
122,Reel Country,Weighed a 18.9 lb dolphin.,Thursday @ 6:10 PM
123,Ava D,Weighed a 22.2 lb dolphin.,Thursday @ 6:03 PM
124,Goombay,Weighed a 71.1 lb dolphin.,Thursday @ 6:02 PM
125,Sarcastic,Weighed a 74.4 lb wahoo.,Thursday @ 6:01 PM
126,Reelin Feelin,Weighed a 14.5 lb dolphin.,Thursday @ 6:00 PM
127,Safari,Weighed a 33.7 lb dolphin.,Thursday @ 6:00 PM
128,Sea Hound,Weighed a 25.4 lb dolphin.,Thursday @ 5:59 PM
129,Starflite,Weighed a 21.2 lb dolphin.,Thursday @ 5:50 PM
130,Persistence,Weighed a 10.6 lb dolphin.,Thursday @ 5:50 PM
131,Sushi,Weighed a 6.6 lb dolphin.,Thursday @ 5:49 PM
132,Carolina Lady,Weighed a 30.2 lb dolphin.,Thursday @ 5:48 PM
133,Carolina Time,Weighed a 42.2 lb wahoo.,Thursday @ 5:48 PM
134,Miss Peggy Sue II,Lost (Pulled Hook).,Thursday @ 3:05 PM
135,Miss Peggy Sue II,Hooked up,Thursday @ 2:57 PM
136,Waste Knot,Released a white marlin.,Thursday @ 3:03 PM
137,Waste Knot,Hooked up,Thursday @ 2:53 PM
138,Ashley Lauren,Released a blue marlin.,Thursday @ 2:56 PM
139,Sea I Sea,Released a sailfish.,Thursday @ 2:33 PM
140,Sea I Sea,Hooked up,Thursday @ 2:33 PM
141,J&B,Released a sailfish.,Thursday @ 1:39 PM
142,J&B,Hooked up,Thursday @ 1:39 PM
143,Hello Dolly,Released a blue marlin.,Thursday @ 1:37 PM
144,Double B,Released a blue marlin.,Thursday @ 1:36 PM
145,Annie O,Released a white marlin.,Thursday @12:14 PM
146,Annie O,Hooked up,Thursday @12:14 PM
147,Floridian,Released a sailfish.,Thursday @10:41 AM
148,Annie O,Lost (Pulled Hook).,Thursday @ 9:50 AM
149,Annie O,Hooked up,Thursday @ 9:50 AM
150,Carterican,Jamie Smith released a daily 1st release.,Thursday @ 9:49 AM
151,Carterican,Hooked up,Thursday @ 9:49 AM
152,Carolina Time,Lost (Wrong Species).,Thursday @ 9:44 AM
153,Carolina Time,Lost (Pulled Hook).,Thursday @ 9:44 AM
154,Carolina Time,Hooked up,Thursday @ 9:44 AM
155,Bizzy B,Lost (Pulled Hook).,Thursday @ 9:31 AM
156,Bizzy B,Hooked up,Thursday @ 9:31 AM
157,Endorfin,Weighed a 23.5 lb dolphin.,Wednesday @ 6:18 PM
158,Double J,Weighed a 17.7 lb dolphin.,Wednesday @ 6:17 PM
159,Hit N Run,Weighed a 27.8 lb dolphin.,Wednesday @ 6:17 PM
160,Job Site,Weighed a 32.7 lb dolphin.,Wednesday @ 6:16 PM
161,Margaritaville,Weighed a 18.2 lb wahoo.,Wednesday @ 6:16 PM
162,Margaritaville,Weighed a 13.0 lb dolphin.,Wednesday @ 6:15 PM
163,Skirt Chaser,Released a blue marlin.,Wednesday @ 3:00 PM
164,Skirt Chaser,Lost (Wrong Species).,Wednesday @ 3:00 PM
165,Skirt Chaser,Hooked up,Wednesday @10:58 PM
166,Braggin' Rights,Lost (Pulled Hook).,Wednesday @ 2:42 PM
167,Braggin' Rights,Hooked up,Wednesday @ 2:42 PM
168,Rare Breed,Weighed a 400.4 lb blue marlin.,Wednesday @ 2:31 PM
169,Rare Breed,Boated a blue marlin.,Wednesday @ 2:31 PM
170,Rare Breed,Hooked up,Wednesday @11:47 AM
171,Wall Hanger,Released a white marlin.,Wednesday @ 2:26 PM
172,Wall Hanger,Hooked up,Wednesday @ 1:59 PM
173,Full Pull,Released a blue marlin.,Wednesday @ 2:01 PM
174,Floridian,Released a blue marlin.,Wednesday @ 1:59 PM
175,Floridian,Hooked up,Wednesday @ 1:59 PM
176,Twin Fin,Released a blue marlin/unverified.,Wednesday @ 1:58 PM
