,boat_name,activity,time
59,Outlaw,Hooked up,Friday @ 1:46 PM
60,Beagle,Released a blue marlin.,Friday @ 1:45 PM
61,Beagle,Hooked up,Friday @ 1:39 PM
62,Whitecaps,Released a white marlin.,Friday @ 1:42 PM
63,Whitecaps,Hooked up,Friday @ 1:34 PM
64,MJ's,Released a sailfish.,Friday @ 1:35 PM
65,Miss Wy,Released a blue marlin.,Friday @ 1:13 PM
66,Miss Wy,Hooked up,Friday @12:56 PM
67,Mollie Whopper,Released a white marlin.,Friday @ 1:11 PM
68,Deep Blue,Released a blue marlin.,Friday @ 1:07 PM
69,Mollie Whopper,Lost (Pulled Hook).,Friday @ 1:05 PM
70,Mollie Whopper,Hooked up,Friday @12:59 PM
71,Hel's Angel's,Released a sailfish.,Friday @ 1:04 PM
72,Megabite,Released a blue marlin.,Friday @12:57 PM
73,Megabite,Hooked up,Friday @12:48 PM
74,Legacy,Lost (Pulled Hook).,Friday @12:51 PM
75,Legacy,Hooked up,Friday @12:50 PM
76,Double B,Released a blue marlin.,Friday @12:50 PM
77,Double B,Hooked up,Friday @12:43 PM
78,Mollie Whopper,Released a white marlin.,Friday @12:44 PM
79,Maggie,Released a blue marlin.,Friday @12:35 PM
80,Fishbone,Released a white marlin.,Friday @12:35 PM
81,Fishbone,Hooked up,Friday @12:33 PM
82,Desperado,Lost (Pulled Hook).,Friday @12:30 PM
83,Desperado,Hooked up,Friday @11:06 AM
84,Sea Toy,Released a sailfish.,Friday @12:26 PM
85,Speculator,Released a white marlin.,Friday @12:20 PM
86,Speculator,Hooked up,Friday @12:11 PM
87,Hel's Angel's,Released a sailfish.,Friday @12:18 PM
88,Hel's Angel's,Hooked up,Friday @12:14 PM
89,Maggie,Released a blue marlin.,Friday @12:15 PM
90,Maggie,Hooked up,Friday @11:56 AM
91,Fishbone,Released a white marlin.,Friday @12:10 PM
92,Fishbone,Hooked up,Friday @12:08 PM
93,Fishbone,Released a sailfish.,Friday @12:09 PM
94,Rehab,Weighed a 506.9 lb blue marlin.,Friday @11:59 AM
95,Rehab,Boated a blue marlin.,Friday @11:59 AM
96,Rehab,Hooked up,Friday @10:46 AM
97,Uno Mas,Released a blue marlin.,Friday @11:54 AM
98,Uno Mas,Hooked up,Friday @11:27 AM
99,Safari,Released a white marlin.,Friday @11:50 AM
100,Safari,Hooked up,Friday @11:48 AM
101,Tide One On,Released a blue marlin.,Friday @11:44 AM
102,Tide One On,Hooked up,Friday @11:26 AM
103,Hel's Angel's,Lost (Pulled Hook).,Friday @11:40 AM
104,Hel's Angel's,Hooked up,Friday @11:37 AM
105,Safari,Released a white marlin.,Friday @11:18 AM
106,Safari,Hooked up,Friday @11:16 AM
107,Fly N Fish,Lost (Pulled Hook).,Friday @11:17 AM
108,Fly N Fish,Hooked up,Friday @11:06 AM
109,A Salt Weapon,Released a white marlin.,Friday @11:12 AM
110,A Salt Weapon,Hooked up,Friday @11:05 AM
111,Feet First,Lost (Pulled Hook).,Friday @11:11 AM
112,Floridian,Lost (Pulled Hook).,Friday @11:10 AM
113,Floridian,Hooked up,Friday @11:02 AM
114,Uno Mas,Released a blue marlin.,Friday @11:09 AM
115,Uno Mas,Hooked up,Friday @10:59 AM
116,Reel Affair,Released a blue marlin.,Friday @10:55 AM
117,Reel Affair,Hooked up,Friday @10:43 AM
118,Safari,Released a blue marlin.,Friday @10:44 AM
119,Safari,Hooked up,Friday @10:24 AM
120,Fin-ally,Released a white marlin.,Friday @10:43 AM
121,Fin-ally,Hooked up,Friday @10:39 AM
122,Carolina Time,Released a blue marlin.,Friday @10:34 AM
123,Carolina Time,Hooked up,Friday @10:28 AM
124,Ashley Lauren,Released a blue marlin.,Friday @10:32 AM
125,Ashley Lauren,Hooked up,Friday @10:03 AM
126,Mollie Whopper,Lost (Pulled Hook).,Friday @10:28 AM
127,Mollie Whopper,Hooked up,Friday @10:23 AM
128,A Salt Weapon,Lost (Wrong Species).,Friday @10:26 AM
129,A Salt Weapon,Hooked up,Friday @10:25 AM
130,Uno Mas,Released a white marlin.,Friday @10:22 AM
131,Uno Mas,Hooked up,Friday @10:19 AM
132,Sea Toy,Released a blue marlin.,Friday @10:15 AM
133,Sea Toy,Hooked up,Friday @10:01 AM
134,Fender Bender,Released a white marlin.,Friday @10:13 AM
135,Fender Bender,Hooked up,Friday @10:04 AM
136,MJ's,Released a white marlin.,Friday @10:03 AM
137,MJ's,Hooked up,Friday @ 9:58 AM
138,EZ Boy,Released a white marlin.,Friday @10:00 AM
139,EZ Boy,Hooked up,Friday @ 9:56 AM
140,Reelin Feelin,Lost (Pulled Hook).,Friday @ 9:56 AM
141,Little Less Talk,Released a blue marlin.,Friday @ 9:34 AM
142,Little Less Talk,Daily 1st Release,Friday @ 9:34 AM
143,Little Less Talk,Hooked up,Friday @ 9:21 AM
144,Marlin Gull,Lost (Pulled Hook).,Friday @ 9:32 AM
145,Marlin Gull,Hooked up,Friday @ 9:20 AM
146,Office 2,Lost (Pulled Hook).,Friday @ 1:02 AM
147,Office 2,Hooked up,Friday @12:55 PM
148,J&B,Weighed a 19.6 lb dolphin.,Thursday @ 5:49 PM
149,Run Off,Weighed a 34.3 lb dolphin.,Thursday @ 5:37 PM
150,Nautiboys,Weighed a 16.7 lb dolphin.,Thursday @ 5:17 PM
151,Carolina Lady,Weighed a 16.5 lb dolphin.,Thursday @ 4:56 PM
152,Yippee Ki Yay,Weighed a 15.9 lb dolphin.,Thursday @ 4:37 PM
153,Uno Mas,Released a sailfish.,Thursday @ 2:22 PM
154,Uno Mas,Hooked up,Thursday @ 2:20 PM
155,Floridian,Released a sailfish.,Thursday @ 2:08 PM
156,Floridian,Hooked up,Thursday @ 2:04 PM
157,Viking 62,Released a blue marlin.,Thursday @ 2:06 PM
158,Viking 62,Hooked up,Thursday @ 2:03 PM
159,Floar Plan,Weighed a 426.0 lb blue marlin.,Thursday @ 1:41 PM
160,Floar Plan,Boated a blue marlin.,Thursday @ 1:41 PM
161,Floar Plan,Hooked up,Thursday @ 1:20 PM
162,Fin Planner,Lost (Pulled Hook).,Thursday @ 1:34 PM
163,Fin Planner,Hooked up,Thursday @ 1:26 PM
164,Carterican,Released a white marlin.,Thursday @ 1:23 PM
165,Syked Out,Released a white marlin.,Thursday @11:57 AM
166,Syked Out,Released a white marlin.,Thursday @11:57 AM
167,Syked Out,Hooked up,Thursday @11:50 AM
168,Syked Out,Hooked up,Thursday @11:50 AM
169,Rehab,Lost (Wrong Species).,Thursday @11:48 AM
170,Rehab,Hooked up,Thursday @11:48 AM
171,Uno Mas,Released a blue marlin.,Thursday @11:33 AM
172,Uno Mas,Hooked up,Thursday @11:26 AM
173,Fishbone,Released a white marlin.,Thursday @11:01 AM
174,Fishbone,Hooked up,Thursday @10:59 AM
175,Reel Easy,Released a white marlin.,Thursday @10:58 AM
176,JSeas,Released a white marlin.,Thursday @10:48 AM
177,JSeas,Hooked up,Thursday @10:35 AM
178,Uno Mas,Released a sailfish.,Thursday @10:26 AM
179,Little Less Talk,Released a white marlin.,Thursday @10:19 AM
180,Little Less Talk,Hooked up,Thursday @10:15 AM
181,Ava D,Released a blue marlin.,Thursday @10:09 AM
182,Ava D,Hooked up,Thursday @ 9:28 AM
183,Hatteras Fever II,Released a white marlin.,Thursday @10:04 AM
184,Hatteras Fever II,Hooked up,Thursday @ 9:59 AM
185,Can Do Too,Released a white marlin.,Thursday @ 9:40 AM
186,Fly N Fish,Lost (Wrong Species).,Thursday @ 9:34 AM
187,Good Times,Released a blue marlin.,Thursday @ 9:30 AM
188,Good Times,Hooked up,Thursday @ 9:16 AM
189,Ann Warrick,Daily 1st Release,Thursday @ 9:24 AM
190,Ann Warrick,Released a sailfish.,Thursday @ 9:24 AM
191,Second Chance,Lost (Pulled Hook).,
192,Second Chance,Hooked up,Wednesday @ 2:58 PM
193,Kristi Kay,Lost (Pulled Hook).,
194,Kristi Kay,Lost (Pulled Hook).,
195,Kristi Kay,Hooked up,Wednesday @ 2:49 PM
196,Kristi Kay,Hooked up,Wednesday @ 2:48 PM
197,Hunter Sportfishing,Weighed a 18.6 lb dolphin.,Wednesday @ 6:19 PM
198,Bad Habit,Weighed a 17.2 lb dolphin.,Wednesday @ 6:18 PM
199,Bad Habit,Weighed a 22.7 lb dolphin.,Wednesday @ 6:16 PM
200,Inspiration,Weighed a 12.2 lb dolphin.,Wednesday @ 6:11 PM
201,Inspiration,Weighed a 12.9 lb dolphin.,Wednesday @ 6:10 PM
202,Blue Water,Weighed a 2.5 lb dolphin.,Wednesday @ 6:08 PM
203,Marlin Fever,Weighed a 15.7 lb dolphin.,Wednesday @ 6:00 PM
204,Marlin Fever,Released a blue marlin.,Wednesday @ 3:07 PM
205,Marlin Fever,Hooked up,Wednesday @ 2:59 PM
206,Double 07,Released a white marlin.,Wednesday @ 2:25 PM
207,Salvation,Released a blue marlin.,Wednesday @ 2:23 PM
208,Salvation,Hooked up,Wednesday @ 1:57 PM
209,Marlin Fever,Released a white marlin.,Wednesday @ 1:59 PM
210,Angler,Released a blue marlin.,Wednesday @ 1:51 PM
211,Angler,Hooked up,Wednesday @12:40 PM
212,Inspiration,Released a blue marlin.,Wednesday @ 1:19 PM
213,Inspiration,Hooked up,Wednesday @12:27 PM
214,El Cazador,Released a white marlin.,Wednesday @ 1:15 PM
215,El Cazador,Hooked up,Wednesday @ 1:10 PM
216,Bill Collector,Released a white marlin.,Wednesday @12:43 PM
217,Salvation,Lost (Pulled Hook).,Wednesday @12:25 PM
218,Legacy,Released a blue marlin.,Wednesday @11:02 AM
219,Legacy,Hooked up,Wednesday @10:51 AM
220,Legacy,Released a blue marlin.,Wednesday @11:01 AM
221,Legacy,Hooked up,Wednesday @10:51 AM
222,Deep Blue,Released a blue marlin.,Wednesday @10:45 AM
223,Deep Blue,Hooked up,Wednesday @10:51 AM
224,Miss Wy,Released a white marlin.,Wednesday @10:45 AM
225,Wall Hanger,Lost (Pulled Hook).,Wednesday @10:15 AM
226,Wall Hanger,Hooked up,Wednesday @10:01 AM
227,Nauti-Gale,Released a sailfish.,Wednesday @10:10 AM
228,Nauti-Gale,Hooked up,Wednesday @10:07 AM
229,Strike 1,Daily 1st Release,Wednesday @ 9:20 AM
230,Strike 1,Released a blue marlin.,Wednesday @ 9:20 AM
231,Strike 1,Hooked up,Wednesday @ 9:04 AM
232,The Other Woman,Weighed a 15.8 lb dolphin.,Tuesday @ 6:48 PM
233,Islander,Weighed a 69.1 lb dolphin.,Tuesday @ 6:38 PM
234,Floar Plan,Weighed a 30.3 lb dolphin.,Tuesday @ 5:14 PM
235,Gryphon,Weighed a 20.9 lb dolphin.,Tuesday @ 4:59 PM
236,Doc Fees,Weighed a 97.7 lb wahoo.,Tuesday @ 4:32 PM
237,Fender Bender,Released a blue marlin.,Tuesday @ 3:15 PM
238,Fender Bender,Hooked up,Tuesday @ 1:38 PM
239,Reel Affair,Released a blue marlin.,Tuesday @ 3:08 PM
240,Reel Affair,Hooked up,Tuesday @ 2:33 PM
241,Miss Wy,Released a white marlin.,Tuesday @ 2:46 PM
242,Sushi,Lost (Wrong Species).,Tuesday @ 2:45 PM
243,Sushi,Hooked up,Tuesday @ 2:23 PM
244,Floar Plan,Released a white marlin.,Tuesday @ 2:36 PM
245,Floar Plan,Hooked up,Tuesday @ 2:32 PM
246,Stream Weaver,Lost (Pulled Hook).,Tuesday @ 2:35 PM
247,Stream Weaver,Hooked up,Tuesday @ 2:32 PM
248,Dun-Rite,Lost (Pulled Hook).,Tuesday @ 2:34 PM
249,Dun-Rite,Hooked up,Tuesday @ 2:17 PM
250,Tuna Duck,Lost (Pulled Hook).,Tuesday @ 2:15 PM
251,Qualifier,Released a blue marlin.,Tuesday @ 2:15 PM
252,Tuna Duck,Hooked up,
253,Qualifier,Hooked up,Tuesday @ 1:53 PM
254,Reel Country,Lost (Pulled Hook).,Tuesday @ 2:09 PM
255,Reel Country,Hooked up,Tuesday @ 1:57 PM
256,Katherine Anne,Lost (Pulled Hook).,Tuesday @ 2:08 PM
257,Katherine Anne,Hooked up,Tuesday @ 1:44 PM
258,Release,Released a blue marlin.,Tuesday @ 2:04 PM
259,Release,Hooked up,Tuesday @ 1:20 PM
260,Run Off,Released a white marlin.,Tuesday @ 2:03 PM
261,Maggie,Released a blue marlin.,Tuesday @ 2:01 PM
262,Savanna Leigh,Lost (Pulled Hook).,Tuesday @ 2:00 PM
263,Savanna Leigh,Hooked up,Tuesday @ 1:29 PM
264,Carolina Time,Released a blue marlin.,Tuesday @ 1:54 PM
265,Carolina Time,Hooked up,Tuesday @ 1:48 PM
266,Stream Weaver,Released a blue marlin.,Tuesday @ 1:36 PM
267,Stream Weaver,Hooked up,Tuesday @ 1:17 PM
268,Dancin Outlaw,Lost (Pulled Hook).,Tuesday @ 1:35 PM
269,Dancin Outlaw,Hooked up,Tuesday @12:55 PM
270,Pig Rig,Released a sailfish.,Tuesday @ 1:28 PM
271,Pig Rig,Hooked up,Tuesday @ 1:25 PM
272,Floar Plan,Released a white marlin.,Tuesday @ 1:17 PM
273,Sea Toy,Released a blue marlin.,Tuesday @ 1:14 PM
274,A Salt Weapon,Released a blue marlin.,Tuesday @ 1:01 PM
275,A Salt Weapon,Hooked up,Tuesday @12:37 PM
276,Mollie Whopper,Released a blue marlin.,Tuesday @12:53 PM
277,Mollie Whopper,Hooked up,Tuesday @12:12 PM
278,Sea Toy,Released a blue marlin.,Tuesday @12:41 PM
279,Sea Toy,Hooked up,Tuesday @12:32 PM
280,Sportsmann,Released a sailfish.,Tuesday @12:39 PM
281,Sportsmann,Hooked up,Tuesday @12:37 PM
282,Dancin Outlaw,Released a blue marlin.,Tuesday @12:35 PM
283,Dancin Outlaw,Hooked up,Tuesday @12:28 PM
284,Ann Warrick,Released a white marlin.,Tuesday @12:32 PM
285,Catbaby,Released a sailfish.,Tuesday @12:18 PM
286,Dancin Outlaw,Released a white marlin.,Tuesday @12:15 PM
287,Dancin Outlaw,Hooked up,Tuesday @12:07 PM
288,Marlin Fever,Released a white marlin.,Tuesday @11:57 AM
289,Angler,Released a white marlin.,Tuesday @11:25 AM
290,Angler,Hooked up,Tuesday @11:23 AM
291,Qualifier,Released a blue marlin.,Tuesday @11:21 AM
292,Qualifier,Hooked up,Tuesday @11:00 AM
293,Bad Habit,Lost (Wrong Species).,Tuesday @11:17 AM
294,A Salt Weapon,Lost (Pulled Hook).,Tuesday @11:14 AM
295,Sea I Sea,Released a white marlin.,Tuesday @10:35 AM
296,Finish Line 1st,Released a white marlin.,Tuesday @10:18 AM
297,Finish Line 1st,Hooked up,Tuesday @10:08 AM
298,Megabite,59th Release,Tuesday @ 9:45 AM
299,Megabite,Released a blue marlin.,Tuesday @ 9:45 AM
300,Megabite,Hooked up,Tuesday @ 9:39 AM
301,Sea Toy,Released a blue marlin.,Tuesday @ 9:44 AM
302,Reel Development,Released a blue marlin.,Tuesday @ 9:19 AM
303,Reel Development,Hooked up,Tuesday @ 9:11 AM
304,Marlin Fever,Released a blue marlin.,Tuesday @ 9:18 AM
305,Marlin Fever,Hooked up,Tuesday @ 9:05 AM
306,Island Girl - Peele,Released a white marlin.,Tuesday @ 9:06 AM
307,Island Girl - Peele,Hooked up,Tuesday @ 9:03 AM
308,Island Girl - Peele,Daily 1st Release,Tuesday @ 9:03 AM
309,Genetic Disorder,Lost (Pulled Hook).,Monday @ 6:15 PM
310,Genetic Disorder,Hooked up,Monday @ 1:48 AM
311,Fly N Fish,Weighed a 21.4 lb dolphin.,Monday @ 6:01 PM
312,Sea Dawgs,Weighed a 22.6 lb dolphin.,Monday @ 5:59 PM
313,Steel Deal,Weighed a 19.7 lb wahoo.,Monday @ 5:48 PM
314,Post Call,Weighed a 30.4 lb dolphin.,Monday @ 5:38 PM
315,Weldor's Ark,Weighed a 35.1 lb dolphin.,Monday @ 5:29 PM
316,Job Site,Weighed a 14.1 lb dolphin.,Monday @ 5:26 PM
317,Ashley Lauren,Weighed a 22.8 lb dolphin.,Monday @ 5:19 PM
318,Builder's Choice,Weighed a 21.9 lb dolphin.,Monday @ 5:13 PM
319,Tide One On,Weighed a 27.2 lb dolphin.,Monday @ 5:04 PM
320,Can Do Too,Released a blue marlin.,Monday @ 4:07 PM
321,Can Do Too,Hooked up,Monday @ 2:17 PM
322,Jackpot,Lost (Pulled Hook).,Monday @ 3:40 PM
323,Jackpot,Hooked up,Monday @ 1:54 PM
324,High Time,Released a blue marlin.,Monday @ 3:39 PM
325,High Time,Hooked up,Monday @ 2:39 PM
326,Whitecaps,Weighed a 417.7 lb blue marlin.,Monday @ 3:31 PM
327,Whitecaps,Boated a blue marlin.,Monday @ 3:31 PM
328,Whitecaps,Hooked up,Monday @ 1:00 PM
329,Islander,Released a blue marlin.,Monday @ 3:24 PM
330,Islander,Hooked up,Monday @ 2:56 PM
331,Bullfrog,Released a blue marlin.,Monday @ 3:05 PM
332,Colhouna,Released a blue marlin.,Monday @ 3:05 PM
333,Colhouna,Hooked up,Monday @11:09 AM
334,Bullfrog,Hooked up,Monday @ 2:25 PM
335,Mollie Whopper,Released a white marlin.,Monday @ 2:59 PM
336,Tammy Gail,Released a blue marlin.,Monday @ 2:53 PM
337,Tammy Gail,Hooked up,Monday @ 2:10 PM
338,Rite Touch,Lost (Pulled Hook).,Monday @ 2:41 PM
339,Rite Touch,Hooked up,Monday @ 2:39 PM
340,Marlin Fever,Released a blue marlin.,Monday @ 2:37 PM
341,Marlin Fever,Hooked up,Monday @ 2:19 PM
342,Sea Toy,Released a blue marlin.,Monday @ 2:35 PM
343,Sea Toy,Hooked up,Monday @ 2:09 PM
344,Mollie Whopper,Released a white marlin.,Monday @ 2:34 PM
345,Mollie Whopper,Hooked up,Monday @ 2:32 PM
346,Desperado,Released a blue marlin.,Monday @ 2:28 PM
347,Desperado,Hooked up,Monday @ 2:04 PM
348,Good Times,Released a blue marlin.,Monday @ 2:27 PM
349,Good Times,Hooked up,Monday @ 1:33 PM
350,Double B,Released a blue marlin.,Monday @ 2:26 PM
351,Double B,Hooked up,Monday @ 2:10 PM
352,Calcutta,Released a blue marlin.,Monday @ 2:19 PM
353,Calcutta,Hooked up,Monday @ 2:03 PM
354,Job Site,Released a blue marlin.,Monday @ 2:15 PM
355,Job Site,Hooked up,Monday @ 2:04 PM
356,Weldor's Ark,Weighed a 484.9 lb blue marlin.,Monday @ 2:13 PM
357,Weldor's Ark,Boated a blue marlin.,Monday @ 2:13 PM
358,Wolverine,Released a blue marlin/unverified.,Monday @ 2:05 PM
359,Wolverine,Hooked up,Monday @ 1:48 PM
360,Rite Touch,Released a blue marlin.,Monday @ 1:57 PM
361,Rite Touch,Hooked up,Monday @ 1:32 PM
362,Tammy Gail,Released a white marlin.,Monday @ 1:53 PM
363,Reel Country,Released a blue marlin.,Monday @ 1:53 PM
364,Reel Country,Hooked up,Monday @12:37 PM
365,Tammy Gail,Hooked up,Monday @ 1:36 PM
366,Dirty Martini,Released a blue marlin.,Monday @ 1:46 PM
367,Dirty Martini,Hooked up,Monday @ 1:23 PM
368,Box Office,Hooked up,
369,Deep Blue,Released a blue marlin.,Monday @ 1:41 PM
370,Islander,Released a white marlin.,Monday @ 1:41 PM
371,Islander,Hooked up,Monday @ 1:41 PM
372,Deep Blue,Hooked up,Monday @ 1:00 PM
373,Sea Hound,Released a sailfish.,Monday @ 1:11 PM
374,Sea Hound,Hooked up,Monday @ 1:09 PM
375,Freestyle,Released a blue marlin.,Monday @ 1:06 PM
376,Freestyle,Boated a blue marlin.,Monday @ 1:06 PM
377,Whitecaps,Lost (Pulled Hook).,Monday @ 1:00 PM
378,Whitecaps,Hooked up,Monday @ 1:00 PM
379,Coverage,Released a sailfish.,Monday @12:59 PM
380,Fowl Hooked,Released a blue marlin.,Monday @12:58 PM
381,Reel Affair,Released a white marlin.,Monday @12:52 PM
382,Free Spool,Released a blue marlin.,Monday @12:45 PM
383,Hatteras Fever II,Released a white marlin.,Monday @12:36 PM
384,Chaser,Released a blue marlin.,Monday @12:12 PM
385,Sea I Sea,Released a blue marlin.,Monday @12:11 PM
386,Dun-Rite,Released a blue marlin.,Monday @12:01 PM
387,Run Off,1st 500lb Blue Marlin,Monday @11:56 AM
388,Run Off,Weighed a 533.8 lb blue marlin.,Monday @11:56 AM
389,Run Off,Boated a blue marlin.,Monday @11:56 AM
390,Little Rascal,Released a blue marlin.,Monday @11:44 AM
391,Office 2,Released a blue marlin.,Monday @11:42 AM
392,Sea Toy,Released a blue marlin.,Monday @11:32 AM
393,MJ's,Released a sailfish.,Monday @11:32 AM
394,Mollie Whopper,Released a blue marlin.,Monday @11:19 AM
395,Free Spool,Released a blue marlin.,Monday @10:50 AM
396,Wraith,Released a blue marlin.,Monday @10:45 AM
397,Savanna Leigh,Released a blue marlin.,Monday @10:42 AM
398,Waste Knot,Released a white marlin.,Monday @10:41 AM
399,Pig Rig,Released a white marlin.,Monday @10:31 AM
400,Bullfrog,Released a blue marlin.,Monday @10:29 AM
401,Fowl Hooked,Released a sailfish.,Monday @10:23 AM
402,Double B,Released a blue marlin.,Monday @10:20 AM
403,Sea Creature,Released a white marlin.,Monday @10:18 AM
404,Sarcastic,Released a blue marlin.,Monday @10:11 AM
405,Cracker,Released a blue marlin.,Monday @10:03 AM
406,Fishbone,Released a white marlin.,Monday @ 9:58 AM
407,Reelin Feelin,Released a white marlin.,Monday @ 9:58 AM
408,Reel Quick,Released a white marlin.,Monday @ 9:51 AM
409,Royal Flush,Released a white marlin.,Monday @ 9:48 AM
410,Pig Rig,Released a white marlin.,Monday @ 9:45 AM
411,Bad Habit,Released a white marlin.,Monday @ 9:31 AM
412,Buddy Boy,Released a white marlin.,Monday @ 9:17 AM
