,boat_name,activity,time
0,Release,Weighed a 29.3 lb tuna.,Saturday @ 8:55 PM
1,Release,Hooked up,Saturday @ 8:55 PM
2,Bullfrog,Released a blue marlin.,Saturday @ 1:50 PM
3,Bullfrog,Hooked up,Saturday @12:42 PM
4,Anita Jean,Lost (Pulled Hook).,Saturday @ 1:44 PM
5,VooDoo Child,Released a sailfish.,Saturday @ 1:22 PM
6,VooDoo Child,Hooked up,Saturday @ 1:17 PM
7,Wolverine,Lost (Pulled Hook).,Saturday @11:53 AM
8,Bank Walker,Lost (Pulled Hook).,Saturday @11:48 AM
9,Bank Walker,Hooked up,Saturday @11:45 AM
10,Syked Out,Released a white marlin.,Saturday @11:26 AM
11,Syked Out,Released a white marlin.,Saturday @11:24 AM
12,Skirt Chaser,Released a white marlin.,Saturday @11:21 AM
13,Bill Chaser II,Released a sailfish.,Saturday @10:13 AM
14,Coverage,Released a sailfish.,Saturday @10:02 AM
15,Coverage,Hooked up,Saturday @ 9:57 AM
16,Endorfin,Released a white marlin.,Saturday @ 9:55 AM
17,Endorfin,Hooked up,Saturday @ 9:50 AM
18,Inspiration,Released a white marlin.,Saturday @ 9:20 AM
19,Pig Rig,Daily 1st Release,Saturday @ 8:58 AM
20,Pig Rig,Released a white marlin.,Saturday @ 8:58 AM
21,Wolverine,Lost (Pulled Hook).,Saturday @ 8:58 AM
22,Syked Out,Lost (Pulled Hook).,Saturday @ 8:36 AM
23,Riley Girl,Weighed a 23.6 lb dolphin.,Friday @ 6:58 PM
24,Annie O,Weighed a 21.8 lb dolphin.,Friday @ 6:40 PM
25,Hammer Time,Weighed a 15.7 lb dolphin.,Friday @ 6:12 PM
26,The General,Weighed a 14.9 lb dolphin.,Friday @ 6:04 PM
27,Skirt Chaser,Weighed a 22.7 lb wahoo.,Friday @ 6:00 PM
28,Accordingly IV,Weighed a 12.2 lb dolphin.,Friday @ 5:57 PM
29,Second Chance,Weighed a 14.2 lb dolphin.,Friday @ 5:51 PM
30,Huntress,Weighed a 25.3 lb dolphin.,Friday @ 5:11 PM
31,JSeas,Released a blue marlin.,Friday @ 3:45 PM
32,JSeas,Hooked up,Friday @ 2:46 PM
33,Sea Hound,Lost (Pulled Hook).,Friday @ 3:00 PM
34,Sea Hound,Hooked up,Friday @ 2:56 PM
35,Energizer,Released a blue marlin.,Friday @ 2:56 PM
36,Energizer,Hooked up,Friday @ 2:30 PM
37,Wraith,Lost (Wrong Species).,Friday @ 2:55 PM
38,Gambler,Lost (Pulled Hook).,Friday @ 2:53 PM
39,Reel Easy,Released a blue marlin.,Friday @ 2:50 PM
40,Reel Easy,Hooked up,Friday @ 2:40 PM
41,A Salt Weapon,Lost (Pulled Hook).,Friday @ 2:48 PM
42,Megabite,Lost (Pulled Hook).,Friday @ 2:42 PM
43,Speculator,Released a white marlin.,Friday @ 2:38 PM
44,Speculator,Hooked up,Friday @ 2:29 PM
45,Kristi Kay,Lost (Pulled Hook).,Friday @ 2:37 PM
46,Waste Knot,Released a white marlin.,Friday @ 2:35 PM
47,Waste Knot,Hooked up,Friday @ 2:31 PM
48,Let It Ride,Weighed a 455.0 lb blue marlin.,Friday @ 2:34 PM
49,Let It Ride,Boated a blue marlin.,Friday @ 2:34 PM
50,Let It Ride,Hooked up,Friday @ 2:16 PM
51,Mollie Whopper,Lost (Pulled Hook).,Friday @ 2:17 PM
52,Aviation Reel Estate,Lost (Pulled Hook).,Friday @ 2:10 PM
53,Aviation Reel Estate,Lost (Pulled Hook).,Friday @ 2:06 PM
54,Aviation Reel Estate,Hooked up,Friday @ 2:04 PM
55,Colhouna,Lost (Pulled Hook).,Friday @ 2:00 PM
56,Colhouna,Hooked up,Friday @ 1:47 PM
57,MJ's,Lost (Wrong Species).,Friday @ 1:55 PM
58,Outlaw,Released a white marlin.,Friday @ 1:50 PM
